neighborhood,name,categories,address,lat,lng,id,rating,number of likes
French Quarter,Pere Antoine Restaurant,Cajun / Creole Restaurant,741 Royal St,29.958818690347677,-90.06405940275687,4aeb3cf3f964a520f7bf21e3,6.3,130
French Quarter,French Market Restaurant & Bar,Seafood Restaurant,1001 Decatur St,29.95933,-90.06078,4ad4c050f964a5208ef420e3,7.7,156
French Quarter,Mother's Restaurant,Cajun / Creole Restaurant,401 Poydras St,29.948835376889075,-90.06690194002057,4aed9d64f964a520dbcd21e3,8.0,1077
French Quarter,Antoine's Restaurant,Cajun / Creole Restaurant,713 Saint Louis St,29.956724,-90.066409,4ad4c04df964a5206ff320e3,8.0,219
French Quarter,The Old Coffeepot Restaurant,Breakfast Spot,714 Saint Peter St,29.958184553268502,-90.06522205059179,4ad4c04df964a52061f320e3,6.4,82
French Quarter,Felix's Restaurant & Oyster Bar,Seafood Restaurant,739 Iberville St,29.954659,-90.068949,4ad4c050f964a520a6f420e3,8.4,478
French Quarter,Molly's Irish Pub & Restaurant,Pub,732 Toulouse St,29.95765560618505,-90.06617460283441,4adcf7ccf964a520076321e3,7.2,33
French Quarter,Deanie's Seafood Restaurant in the French Quarter,American Restaurant,841 Iberville St.,29.955319,-90.069813,4ad4c04cf964a520f1f220e3,7.9,394
French Quarter,The Jimani Lounge & Restaurant,Bar,141 Chartres St,29.953484987154013,-90.06741533330678,4ad4c04cf964a5202bf320e3,7.4,78
French Quarter,Broussard's Restaurant & Courtyard,Cajun / Creole Restaurant,819 Conti St,29.956802052694883,-90.0680329492195,4ad4c050f964a5209ef420e3,8.8,87
French Quarter,Franks Restaurant,Italian Restaurant,933 Decatur St,29.95894506578994,-90.06082920129727,4aeb20c2f964a520b9be21e3,5.7,29
French Quarter,Golden Wall Chinese Restaurant,Chinese Restaurant,914 Canal St,29.954494578591227,-90.07122263242722,4b72f287f964a52072912de3,6.8,9
French Quarter,Jung Lobby Restaurant,New American Restaurant,1500 Canal St,29.957263,-90.075654,5c492ce642d8c2002cb527d6,6.8,1
French Quarter,Mulate's Cajun Restaurant,Cajun / Creole Restaurant,201 Julia St,29.944501653385537,-90.06487096497426,4ad4c04ff964a52011f420e3,7.4,247
French Quarter,Creole House Restaurant & Oyster Bar,Cajun / Creole Restaurant,509 Canal St,29.952184869835747,-90.06734586603254,56788640498e1e6e2f1d0da3,8.6,115
French Quarter,P&G Restaurant & Bar,Sandwich Place,345 Baronne St,29.951309528802273,-90.07282693441915,4c0d22be7189c928a886d6b6,7.7,20
French Quarter,Tujague's Restaurant,Cajun / Creole Restaurant,823 Decatur St,29.958081081122682,-90.06171762943268,4ad4c04af964a520b0f220e3,8.4,171
French Quarter,House of Blues Restaurant & Bar,Music Venue,225 Decatur St,29.953241077479607,-90.06621507639395,41326e00f964a5204b191fe3,9.3,1407
French Quarter,Deja Vu Restaurant And Bar,American Restaurant,400 Dauphine St,29.956930309455107,-90.06865431677606,4ad4c04df964a5203cf320e3,7.8,121
French Quarter,Restaurant R'evolution,Cajun / Creole Restaurant,777 Bienville St,29.955325834214165,-90.06816817793825,4faadffbe4b09ddd00780024,9.1,227
